code,year,firm_name,listing_date,industry_name,industry_code,province,property_rights,largest_holder_rate,equity_nature,firm_age,total_assets,total_liability,debt_asset_ratio,revenue_growth,selling_expense,admin_expense,finance_expense,industry_2digit,ln_assets,leverage
000010,2013,美丽生态,1995-10-27,专用设备制造业,C35,北京市,0,29.99,民营,18.0,1027789609.41,368104536.16,,1.083764,32177269.04,59053578.05,-3422997.73,C35,20.750676322926644,0.3581516419214527
000012,2013,南玻A,1992-02-28,非金属矿物制品业,C30,广东省,1,3.62,国企,21.0,15078866777.0,6677954195.0,,-0.015382,267394775.0,671321260.0,238321702.0,C30,23.43656004928872,0.4428684392374879
000016,2013,深康佳A,1992-03-27,计算机、通信和其他电子设备制造业,C39,广东省,1,19.0,国企,21.0,15743284335.49,11463181656.07,,0.065074,2548603146.99,674386382.45,-59637103.92,C39,23.479679719889933,0.7281315265473934
000017,2013,深中华A,1992-03-31,铁路、船舶、航空航天和其他运输设备制造业,C37,广东省,0,11.52,民营,21.0,151511429.85,143812656.67,,-0.256394,6723428.32,85815079.74,-1299434.0,C37,18.836171624622356,0.9491868488890773
000018,2013,神城A退,1992-06-16,纺织业,C17,广东省,1,25.51,民营,21.0,170502789.0,45921137.0,,6.496591,300128.0,8073279.0,247455.0,C17,18.954262212325318,0.2693277762160242
000019,2013,深粮控股,1992-10-12,酒、饮料和精制茶制造业,C15,广东省,1,19.09,国企,21.0,1336638587.42,324953894.24,,-0.267124,34286008.25,60626094.4,-121468.43,C15,21.013423782458425,0.24311275860083534
000020,2013,深华发A,1992-04-28,计算机、通信和其他电子设备制造业,C39,广东省,0,41.14,民营,21.0,731348499.86,457684850.39,,0.151714,10021716.98,39240424.34,21454338.85,C39,20.410400648102268,0.6258095155423349
000021,2013,深科技,1994-02-02,计算机、通信和其他电子设备制造业,C39,广东省,1,44.51,国企,19.0,13726551759.03,8765406113.45,,0.095468,28044841.24,356082678.15,-293989306.78,C39,23.342597878718333,0.6385730566078758
000030,2013,富奥股份,1993-09-29,其他制造业,C41,吉林省,1,24.31,国企,20.0,7110347411.96,2862417622.96,,0.127177,258349334.55,466731786.78,5448179.81,C41,22.684816942009462,0.4025707123881534
000032,2013,深桑达A,1993-10-28,计算机、通信和其他电子设备制造业,C39,广东省,1,42.02,国企,20.0,1501408866.53,486380757.18,,0.344669,37409891.61,119128833.24,2916092.06,C39,21.12966974859393,0.32394957031531657
