code,year,firm_name,listing_date,rd_investment_intensity_pct,rd_investment_amount,industry_code,industry_name
000010,2013,美丽生态,1995-10-27,1.2,4356200.0,C35,专用设备制造业
000012,2013,南玻A,1992-02-28,2.47,190990000.0,C30,非金属矿物制品业
000016,2013,深康佳A,1992-03-27,,230000000.0,C39,计算机、通信和其他电子设备制造业
000017,2013,深中华A,1992-03-31,,,C37,铁路、船舶、航空航天和其他运输设备制造业
000018,2013,神城A退,1992-06-16,,,C17,纺织业
000019,2013,深粮控股,1992-10-12,3.11,13642400.0,C15,酒、饮料和精制茶制造业
000020,2013,深华发A,1992-04-28,,,C39,计算机、通信和其他电子设备制造业
000021,2013,深科技,1994-02-02,0.99,149104181.11,C39,计算机、通信和其他电子设备制造业
000030,2013,富奥股份,1993-09-29,2.17,113506000.0,C41,其他制造业
000032,2013,深桑达A,1993-10-28,1.6,26021103.49,C39,计算机、通信和其他电子设备制造业
000035,2013,中国天楹,1994-04-08,,,C39,计算机、通信和其他电子设备制造业
000039,2013,中集集团,1994-04-08,0.87,501949000.0,C33,金属制品业
000048,2013,京基智农,1994-11-01,1.44,22585662.54,C13,农副食品加工业
000049,2013,德赛电池,1995-03-20,2.38,104412442.0,C38,电气机械和器材制造业
000050,2013,深天马A,1995-03-15,5.5,247519369.0,C39,计算机、通信和其他电子设备制造业
000055,2013,方大集团,1996-04-15,5.9,103027800.0,C33,金属制品业
000059,2013,华锦股份,1997-01-30,,61630000.0,C25,石油、煤炭及其他燃料加工业
000060,2013,中金岭南,1997-01-23,1.13,239909100.0,C32,有色金属冶炼和压延加工业
000063,2013,中兴通讯,1997-11-18,9.81,73839000000.0,C39,计算机、通信和其他电子设备制造业
000066,2013,中国长城,1997-06-26,2.2,1712053099.61,C39,计算机、通信和其他电子设备制造业
000068,2013,华控赛格,1997-06-11,,,C39,计算机、通信和其他电子设备制造业
000070,2013,特发信息,2000-05-11,4.11,64530000.0,C38,电气机械和器材制造业
000100,2013,TCL科技,2004-01-30,,,C39,计算机、通信和其他电子设备制造业
000153,2013,丰原药业,2000-09-20,1.89,28987000.0,C27,医药制造业
000155,2013,川能动力,2000-09-26,0.03,,C26,化学原料和化学制品制造业
000157,2013,中联重科,2000-10-12,4.73,1821662995.41,C35,专用设备制造业
000158,2013,常山北明,2000-07-24,1.32,77108000.0,C17,纺织业
000333,2013,美的集团,2013-09-18,,3000000000.0,C38,电气机械和器材制造业
000338,2013,潍柴动力,2007-04-30,4.32,2517384486.01,C36,汽车制造业
000400,2013,许继电气,1997-04-18,4.24,303256013.22,C38,电气机械和器材制造业
000401,2013,金隅冀东,1996-06-14,0.04,6500000.0,C30,非金属矿物制品业
000403,2013,派林生物,1996-06-28,5.63,26880829.08,C27,医药制造业
000404,2013,长虹华意,1996-06-19,3.12,209427773.63,C34,通用设备制造业
000407,2013,胜利股份,1996-07-03,1.09,24426700.0,C26,化学原料和化学制品制造业
000410,2013,沈阳机床,1996-07-18,4.37,322263800.0,C34,通用设备制造业
000418,2013,小天鹅A,1997-03-28,3.95,340000000.0,C38,电气机械和器材制造业
000420,2013,吉林化纤,1996-08-02,,5233000.0,C28,化学纤维制造业
000422,2013,湖北宜化,1996-08-15,0.35,67700000.0,C26,化学原料和化学制品制造业
000423,2013,东阿阿胶,1996-07-29,3.07,123000000.0,C27,医药制造业
000425,2013,徐工机械,1996-08-28,3.74,1008667823.22,C35,专用设备制造业
000509,2013,华塑控股,1993-05-07,,320000.0,C29,橡胶和塑料制品业
000510,2013,新金路,1993-05-07,,6844051.31,C26,化学原料和化学制品制造业
000513,2013,丽珠集团,1993-10-28,5.05,233060000.0,C27,医药制造业
000519,2013,中兵红箭,1993-10-08,3.9,81147477.99,C30,非金属矿物制品业
000521,2013,长虹美菱,1993-10-18,,,C38,电气机械和器材制造业
000523,2013,红棉股份,1993-11-08,3.45,,C26,化学原料和化学制品制造业
000525,2013,红太阳,1993-10-28,1.16,84320671.52,C26,化学原料和化学制品制造业
000528,2013,柳工,1993-11-18,4.03,508200000.0,C35,专用设备制造业
000529,2013,广弘控股,1993-11-18,,,C13,农副食品加工业
000530,2013,冰山冷热,1993-12-08,5.12,78530000.0,C34,通用设备制造业
000533,2013,顺钠股份,1994-01-03,2.83,65470000.0,C38,电气机械和器材制造业
000536,2013,华映科技,1993-11-26,2.4,,C39,计算机、通信和其他电子设备制造业
000538,2013,云南白药,1993-12-15,1.15,181780000.0,C27,医药制造业
000541,2013,佛山照明,1993-11-23,3.18,80407100.0,C38,电气机械和器材制造业
000545,2013,金浦钛业,1993-12-15,4.0,33691672.75,C26,化学原料和化学制品制造业
000547,2013,航天发展,1993-11-30,,47190000.0,C39,计算机、通信和其他电子设备制造业
000550,2013,江铃汽车,1993-12-01,6.0,1188000000.0,C36,汽车制造业
000553,2013,安道麦A,1993-12-03,0.31,9641058.87,C26,化学原料和化学制品制造业
000555,2013,神州信息,1994-04-08,3.16,243862400.0,C39,计算机、通信和其他电子设备制造业
000557,2013,西部创业,1994-06-17,,,C15,酒、饮料和精制茶制造业
000559,2013,万向钱潮,1994-01-10,3.88,359259202.19,C36,汽车制造业
000561,2013,烽火电子,1994-05-09,14.0,114130000.0,C39,计算机、通信和其他电子设备制造业
000565,2013,渝三峡A,1994-04-08,3.82,21011600.0,C26,化学原料和化学制品制造业
000566,2013,海南海药,1994-05-25,8.13,82839076.94,C27,医药制造业
000568,2013,泸州老窖,1994-05-09,0.75,78317000.0,C15,酒、饮料和精制茶制造业
000570,2013,苏常柴A,1994-07-01,4.35,127377520.56,C34,通用设备制造业
000572,2013,海马汽车,1994-08-08,4.93,504868900.0,C36,汽车制造业
000576,2013,甘化科工,1994-09-07,,3360000.0,C22,造纸和纸制品业
000581,2013,威孚高科,1998-09-24,3.79,211699000.0,C36,汽车制造业
000584,2013,工智退,1995-11-28,,,C28,化学纤维制造业
000585,2013,东电退,1995-12-13,0.1,197454.82,C38,电气机械和器材制造业
000586,2013,汇源通信,1995-12-20,2.81,11576000.0,C39,计算机、通信和其他电子设备制造业
000589,2013,贵州轮胎,1996-03-08,3.1,200509500.0,C29,橡胶和塑料制品业
000590,2013,古汉医药,1996-01-19,1.02,2608432.95,C27,医药制造业
000596,2013,古井贡酒,1996-09-27,3.98,182407000.0,C15,酒、饮料和精制茶制造业
000597,2013,东北制药,1996-05-23,,106000000.0,C27,医药制造业
000599,2013,青岛双星,1996-04-30,0.69,,C29,橡胶和塑料制品业
000605,2013,渤海股份,1996-09-13,,,C27,医药制造业
000606,2013,顺利退,1996-10-04,,343211.28,C27,医药制造业
000607,2013,华媒控股,1996-08-30,5.75,,C40,仪器仪表制造业
000611,2013,天首退,1996-10-08,,,C17,纺织业
000612,2013,焦作万方,1996-09-26,0.05,2823080.09,C32,有色金属冶炼和压延加工业
000617,2013,中油资本,1996-10-22,1.63,26525935.57,C34,通用设备制造业
000619,2013,海螺新材,1996-10-23,1.5,60761027.91,C29,橡胶和塑料制品业
000622,2013,恒立退,1996-11-07,0.71,1295439.52,C35,专用设备制造业
000623,2013,吉林敖东,1996-10-28,2.8,54720681.61,C27,医药制造业
000625,2013,长安汽车,1997-06-10,4.21,1620000000.0,C36,汽车制造业
000630,2013,铜陵有色,1996-11-20,1.96,1489180000.0,C32,有色金属冶炼和压延加工业
000633,2013,合金投资,1996-11-12,,4177.49,C38,电气机械和器材制造业
000635,2013,英力特,1996-11-20,0.13,3492964.59,C26,化学原料和化学制品制造业
000636,2013,风华高科,1996-11-29,3.29,73349900.0,C39,计算机、通信和其他电子设备制造业
000637,2013,茂化实华,1996-11-14,3.42,110894300.0,C25,石油、煤炭及其他燃料加工业
000639,2013,西王食品,1996-11-26,3.16,76606900.0,C13,农副食品加工业
000650,2013,仁和药业,1996-12-10,1.29,23214117.47,C27,医药制造业
000651,2013,格力电器,1996-11-18,,,C38,电气机械和器材制造业
000657,2013,中钨高新,1996-12-05,,150478729.52,C32,有色金属冶炼和压延加工业
000659,2013,珠海中富,1996-12-03,,,C29,橡胶和塑料制品业
000661,2013,长春高新,1996-12-18,4.78,97717500.0,C27,医药制造业
000662,2013,天夏退,1996-12-16,0.18,890000.0,C26,化学原料和化学制品制造业
000666,2013,经纬纺机,1996-12-10,3.87,219753000.0,C35,专用设备制造业
000672,2013,上峰水泥,1996-12-18,,5219300.0,C30,非金属矿物制品业
000676,2013,智度股份,1996-12-24,6.02,26529373.83,C38,电气机械和器材制造业
000677,2013,恒天海龙,1996-12-26,0.36,8525308.1,C28,化学纤维制造业
000678,2013,襄阳轴承,1997-01-06,4.33,39800200.0,C34,通用设备制造业
000680,2013,山推股份,1997-01-22,3.57,361832700.0,C35,专用设备制造业
000682,2013,东方电子,1997-01-21,7.43,,C38,电气机械和器材制造业
000683,2013,博源化工,1997-01-31,,,C26,化学原料和化学制品制造业
000687,2013,华讯退,1997-02-21,2.7,23400000.0,C28,化学纤维制造业
000700,2013,模塑科技,1997-02-28,2.5,72417000.0,C36,汽车制造业
000702,2013,正虹科技,1997-03-18,3.24,,C13,农副食品加工业
000703,2013,恒逸石化,1997-03-28,,,C28,化学纤维制造业
000707,2013,双环科技,1997-04-15,4.68,174288364.33,C26,化学原料和化学制品制造业
000708,2013,中信特钢,1997-03-26,3.31,246512228.0,C31,黑色金属冶炼和压延加工业
000709,2013,河钢股份,1997-04-16,1.61,1777207409.51,C31,黑色金属冶炼和压延加工业
000710,2013,贝瑞基因,1997-04-22,4.85,12730000.0,C36,汽车制造业
000716,2013,黑芝麻,1997-04-18,0.082,,C14,食品制造业
000717,2013,中南股份,1997-05-08,3.79,726000000.0,C31,黑色金属冶炼和压延加工业
000723,2013,美锦能源,1997-05-15,,,C25,石油、煤炭及其他燃料加工业
000725,2013,京东方A,2001-01-12,5.64,1904377825.0,C39,计算机、通信和其他电子设备制造业
000726,2013,鲁泰A,2000-12-25,3.96,256300400.0,C17,纺织业
000727,2013,冠捷科技,1997-05-20,,42104134.7,C39,计算机、通信和其他电子设备制造业
000729,2013,燕京啤酒,1997-07-16,1.82,249854211.04,C15,酒、饮料和精制茶制造业
000731,2013,四川美丰,1997-06-17,0.06,3291970.51,C26,化学原料和化学制品制造业
000733,2013,振华科技,1997-07-03,4.2,124983600.0,C39,计算机、通信和其他电子设备制造业
000737,2013,北方铜业,1997-04-28,0.16,4475032.64,C26,化学原料和化学制品制造业
000738,2013,航发控制,1997-06-26,2.35,61448815.46,C37,铁路、船舶、航空航天和其他运输设备制造业
000739,2013,普洛药业,1997-05-09,2.81,109714900.0,C27,医药制造业
000748,2013,长城信息,1997-07-04,5.0,83173700.0,C39,计算机、通信和其他电子设备制造业
000751,2013,锌业股份,1997-06-26,0.02,677498.57,C32,有色金属冶炼和压延加工业
000755,2013,山西高速,1997-06-27,1.19,66576608.86,C26,化学原料和化学制品制造业
000756,2013,新华制药,1997-08-06,,76570000.0,C27,医药制造业
000757,2013,浩物股份,1997-06-27,1.48,6545200.0,C34,通用设备制造业
000760,2013,斯太退,1997-06-27,0.19,1182698.24,C36,汽车制造业
000761,2013,本钢板材,1998-01-15,7.08,2855126000.0,C31,黑色金属冶炼和压延加工业
000766,2013,通化金马,1997-04-30,4.35,6422053.47,C27,医药制造业
000768,2013,中航西飞,1997-06-26,0.72,125186226.3,C37,铁路、船舶、航空航天和其他运输设备制造业
000777,2013,中核科技,1997-07-10,3.25,30645000.0,C34,通用设备制造业
000778,2013,新兴铸管,1997-06-06,2.15,1354058700.0,C33,金属制品业
000779,2013,甘咨询,1997-05-28,0.69,1575976.52,C17,纺织业
000782,2013,恒申新材,1997-06-19,2.36,87226561.39,C28,化学纤维制造业
000786,2013,北新建材,1997-06-06,1.3,97191319.9,C30,非金属矿物制品业
000788,2013,北大医药,1997-06-16,1.44,33276899.65,C27,医药制造业
000789,2013,万年青,1997-09-23,,,C30,非金属矿物制品业
000790,2013,华神科技,1998-03-27,4.81,31645500.0,C33,金属制品业
000792,2013,盐湖股份,1997-09-04,0.1,8328537.62,C26,化学原料和化学制品制造业
000795,2013,英洛华,1997-08-08,3.64,32356000.0,C30,非金属矿物制品业
000799,2013,酒鬼酒,1997-07-18,2.82,19303894.29,C15,酒、饮料和精制茶制造业
000800,2013,一汽解放,1997-06-18,2.2,654000000.0,C36,汽车制造业
000801,2013,四川九洲,1998-05-06,3.79,93667800.0,C39,计算机、通信和其他电子设备制造业
000803,2013,山高环能,1998-03-03,,,C17,纺织业
000806,2013,银河退,1998-04-16,1.36,,C38,电气机械和器材制造业
000807,2013,云铝股份,1998-04-08,,13111650.62,C32,有色金属冶炼和压延加工业
000810,2013,创维数字,1998-06-02,1.23,13814516.2,C17,纺织业
000811,2013,冰轮环境,1998-05-28,4.82,73639491.9,C34,通用设备制造业
000812,2013,陕西金叶,1998-06-23,1.11,7012100.0,C23,印刷和记录媒介复制业
000813,2013,德展健康,1998-05-19,1.37,,C17,纺织业
000815,2013,美利云,1998-06-09,0.34,1905557.9,C22,造纸和纸制品业
000816,2013,智慧农业,1997-08-18,2.13,59168500.0,C34,通用设备制造业
000818,2013,航锦科技,1997-10-17,,3260000.0,C26,化学原料和化学制品制造业
000819,2013,岳阳兴长,1997-06-25,0.08,1589100.0,C25,石油、煤炭及其他燃料加工业
000822,2013,山东海化,1998-07-03,,,C26,化学原料和化学制品制造业
000823,2013,超声电子,1997-10-08,3.64,129029497.72,C39,计算机、通信和其他电子设备制造业
000825,2013,太钢不锈,1998-10-21,2.14,2252457891.38,C31,黑色金属冶炼和压延加工业
000830,2013,鲁西化工,1998-08-07,,1407145.84,C26,化学原料和化学制品制造业
000831,2013,中国稀土,1998-09-11,0.2,3415000.0,C32,有色金属冶炼和压延加工业
000833,2013,粤桂股份,1998-11-11,1.01,11229900.0,C22,造纸和纸制品业
000835,2013,长动退,1999-06-25,,,C25,石油、煤炭及其他燃料加工业
000837,2013,秦川机床,1998-09-28,,71609700.0,C34,通用设备制造业
000848,2013,承德露露,1997-11-13,0.33,8733900.0,C15,酒、饮料和精制茶制造业
000850,2013,华茂股份,1998-10-07,3.0,57143200.0,C17,纺织业
000852,2013,石化机械,1998-11-26,3.29,61510788.51,C35,专用设备制造业
000856,2013,冀东装备,1998-08-13,0.52,7200000.0,C35,专用设备制造业
000858,2013,五粮液,1998-04-27,0.25,61978250.2,C15,酒、饮料和精制茶制造业
000859,2013,国风新材,1998-11-19,3.33,45344300.0,C29,橡胶和塑料制品业
000860,2013,顺鑫农业,1998-11-04,,,C13,农副食品加工业
000862,2013,银星能源,1998-09-15,0.41,3777375.06,C34,通用设备制造业
000868,2013,安凯客车,1997-07-25,3.5,123774000.0,C36,汽车制造业
000869,2013,张裕A,2000-10-26,0.3,12310000.0,C15,酒、饮料和精制茶制造业
000876,2013,新希望,1998-03-11,0.09,67932700.0,C13,农副食品加工业
000877,2013,天山股份,1999-01-07,4.6,363720000.0,C30,非金属矿物制品业
000878,2013,云南铜业,1998-06-02,,,C32,有色金属冶炼和压延加工业
000880,2013,潍柴重机,1998-04-02,3.44,79968696.9,C34,通用设备制造业
000885,2013,城发环境,1999-03-19,0.04,1578227.51,C30,非金属矿物制品业
000887,2013,中鼎股份,1998-12-03,3.45,136632500.0,C29,橡胶和塑料制品业
000890,2013,法尔胜,1999-01-19,,10602376.7,C33,金属制品业
000893,2013,亚钾国际,1998-12-24,0.01,1380153.23,C13,农副食品加工业
000895,2013,双汇发展,1998-12-10,0.88,396170000.0,C13,农副食品加工业
000898,2013,鞍钢股份,1997-12-25,2.8,2108000000.0,C31,黑色金属冶炼和压延加工业
000901,2013,航天科技,1999-04-01,4.55,60390000.0,C37,铁路、船舶、航空航天和其他运输设备制造业
000910,2013,大亚圣象,1999-06-30,2.51,205238400.0,C20,木材加工和木、竹、藤、棕、草制品业
000911,2013,广农糖业,1999-05-27,0.07,3210000.0,C13,农副食品加工业
