code,year,firm_name,industry_name,industry_code,revenue,operating_cost,employees,fixed_assets_net,purchase_goods_cash,capex,depreciation_amortization,industry_2digit,value_added,ln_output,ln_labor,ln_capital,ln_intermediate,tfp
000010,2013,美丽生态,专用设备制造业,C35,362384421.77,251290229.75,596.0,43670392.88,194210196.83,6398058.62,6339987.89,C35,117434179.90999998,18.581388563615384,6.39024066706535,17.592180921986422,19.342119122927937,7.840094981282791
000012,2013,南玻A,非金属矿物制品业,C30,7733796114.0,5501300657.0,9956.0,7979937683.0,5406427033.0,2142386726.0,700329420.0,C30,2932824877.0,21.799231917351438,9.205930663487482,22.80019643922977,22.428250384318027,7.509125675956861
000016,2013,深康佳A,计算机、通信和其他电子设备制造业,C39,20006736878.82,16660981623.13,20542.0,1908503979.8,13716426040.28,289680969.24,154001534.92,C39,3499756790.6100006,21.975959314630206,9.93022684972575,21.369585515449977,23.536335392905517,8.06259834069091
000017,2013,深中华A,铁路、船舶、航空航天和其他运输设备制造业,C37,271111736.07,243225629.45,48.0,227824.37,133314908.16,5384449.06,2489934.71,C37,30376041.330000006,17.22916474150649,3.871201010907891,12.336330304080136,19.3095000867554,9.94049134443667
000018,2013,神城A退,纺织业,C17,26998990.0,9461003.0,31.0,7191205.0,1500000.0,36411.0,4381442.0,C17,21919429.0,16.90288397043473,3.4339872044851463,15.788369309535334,16.06268896077775,8.181812182628331
000019,2013,深粮控股,酒、饮料和精制茶制造业,C15,438318662.25,367575489.74,820.0,308220725.48,550726968.83,157370487.26,23240727.52,C15,93983900.02999999,18.358634049288227,6.709304340258298,19.546326725442015,19.72243926978105,6.580237516563038
000020,2013,深华发A,计算机、通信和其他电子设备制造业,C39,626821044.64,556598949.78,1047.0,195542067.03,368039415.49,10138667.85,20243317.04,C39,90465411.9,18.320478146667067,6.953684210870537,19.091286090866568,20.13735552020556,6.65632410043686
000021,2013,深科技,计算机、通信和其他电子设备制造业,C39,15039531962.51,14684900223.44,14881.0,1224832836.29,9602564783.4,256079766.79,236056582.52,C39,590688321.5899997,20.196799061623246,9.60784051043005,20.926070211460136,23.410085607119708,6.618640618292218
000030,2013,富奥股份,其他制造业,C41,5227802390.42,4271341996.11,6371.0,1381764539.26,2934889734.75,177159687.14,166201388.47,C41,1122661782.78,20.838968294393574,8.759511722116487,21.046627170974375,22.1751938996131,7.5434492627665275
000032,2013,深桑达A,计算机、通信和其他电子设备制造业,C39,1625440937.16,1374695302.26,1221.0,66132079.98,1559478793.49,3619552.86,27326486.42,C39,278072121.3200001,19.443391067217608,7.107425474110705,18.007164512052025,21.041497945152038,8.22252314513118
000035,2013,中国天楹,计算机、通信和其他电子设备制造业,C39,40922834.9,36239763.15,13.0,9177.63,0.0,7799.0,1493.92,C39,4684565.67,15.359783762847007,2.5649493574615367,9.1245242803483,17.40566750352167,10.087889345621607
000039,2013,中集集团,金属制品业,C33,57874411000.0,48242360000.0,57686.0,13508082000.0,47175580000.0,6929534000.0,1172940000.0,C33,10804991000.0,23.103273993957202,10.962769788740298,23.32655400992806,24.59950331022508,7.866584197968102
000048,2013,京基智农,农副食品加工业,C13,1565306163.41,1395344583.31,1449.0,385366651.3,1396384424.93,95780770.7,65155189.61,C13,235116769.71000016,19.27559284108127,7.278628942320682,19.769705780101997,21.056407234842467,7.1658621654157155
000049,2013,德赛电池,电气机械和器材制造业,C38,4402498844.33,3762968643.84,5262.0,118730608.51,3200487280.54,61163371.05,40644406.45,C38,680174606.9399998,20.337860098085155,8.568266461600238,18.592367690786762,22.048474015767212,8.261215052080571
000050,2013,深天马A,计算机、通信和其他电子设备制造业,C39,4519377681.0,3699343634.0,7479.0,3986723070.0,3301242116.0,169996098.0,531180596.0,C39,1351214643.0,21.02426976043289,8.919854372191667,22.106235444694015,22.031421244643806,7.171453686851455
000055,2013,方大集团,金属制品业,C33,1747620845.74,1425369204.42,2081.0,462930269.98,1313329311.49,40911829.63,29160622.96,C33,351412264.2799999,19.677470634303457,7.640603826393634,19.95308699591365,21.077696707929846,7.337826004990697
000059,2013,华锦股份,石油、煤炭及其他燃料加工业,C25,41557911422.06,37330148359.98,10463.0,16777449336.5,41957720349.02,1314734565.66,1450229182.48,C25,5677992244.559994,22.45986352912095,9.255600503381046,23.543301520263306,24.343067104147888,7.8039931974228125
000060,2013,中金岭南,有色金属冶炼和压延加工业,C32,21117720747.04,19653930802.02,10521.0,4023846752.59,20049747018.28,1276205314.71,230951890.19,C32,1694741835.2100005,21.25079625656792,9.261128538808288,22.115504185666275,23.70154319607145,7.257385265214875
000063,2013,中兴通讯,计算机、通信和其他电子设备制造业,C39,75233724000.0,53125904000.0,69093.0,7449476000.0,62736010000.0,2336926000.0,1721965000.0,C39,23829785000.0,23.894202105775488,11.143208702164118,22.731409531293746,24.6959304805168,8.862509181825923
000066,2013,中国长城,计算机、通信和其他电子设备制造业,C39,77858636643.28,71268754461.8,40558.0,3698793084.07,69052735131.88,1844811965.02,1427802702.77,C39,8017684884.249996,22.804915549353012,10.610488327384608,22.031272409889326,24.98972384197522,8.31187965054426
000068,2013,华控赛格,计算机、通信和其他电子设备制造业,C39,721757334.54,705283674.33,36.0,214616953.04,468307847.88,2046660.59,11077454.93,C39,27551115.13999992,17.131553569695022,3.58351893845611,19.18436538336313,20.374110654781628,6.769868842613944
000070,2013,特发信息,电气机械和器材制造业,C38,1571950276.88,1274518887.25,1945.0,424143745.14,1206050643.59,144606281.8,48811568.75,C38,346242958.3800001,19.66265127845036,7.573017256052546,19.86558297729801,20.965834601011558,7.390730608129058
000100,2013,TCL科技,计算机、通信和其他电子设备制造业,C39,85324086000.0,70358812000.0,73809.0,20361131000.0,75832064000.0,3767597000.0,3473053000.0,C39,18438327000.0,23.637697324277816,11.20923595437263,23.736893577184116,24.976873872079704,8.11156594390254
000153,2013,丰原药业,医药制造业,C27,1529898115.07,1131255922.39,4992.0,632198437.78,1032543708.45,113902674.79,61825228.97,C27,460467421.64999986,19.947752665554443,8.515591910049263,20.26471388665764,20.846594288226584,7.113633027443038
000155,2013,川能动力,化学原料和化学制品制造业,C26,1810919881.95,1701881021.66,3937.0,1314741820.79,1674815098.95,80070129.02,191415104.82,C26,300453965.10999995,19.520805105894606,8.278174290943738,20.996906149300095,21.254999959636496,6.440643404851919
000157,2013,中联重科,专用设备制造业,C35,38541775254.36,27300089843.06,27028.0,5376849583.9,26372174059.77,1137577120.18,561851068.55,C35,11803536479.849998,23.191665025198656,10.204628644672065,22.405368460400897,24.03015583008649,8.686551205973341
000158,2013,常山北明,纺织业,C17,5857395314.0,5654241572.19,8768.0,1501057931.47,6734503604.03,253686315.12,136404691.26,C17,339558433.0700004,19.643156605233926,9.078864009187797,21.12943598410279,22.45567182119649,6.18156236068962
000333,2013,美的集团,电气机械和器材制造业,C38,120975003140.0,92818063060.0,109085.0,19572161320.0,41495028890.0,2115389410.0,3044742880.0,C38,31201682960.0,24.163737871332724,11.599882673826125,23.697374052726403,25.25390710284078,8.500007623819164
000338,2013,潍柴动力,汽车制造业,C36,58311713430.31,46287777066.9,40984.0,13149176100.96,24562371492.44,1468379714.85,2031493999.97,C36,14055430363.379995,23.366274660784896,10.620937025619039,23.299624939687956,24.558143768950565,8.278624064914041
000400,2013,许继电气,电气机械和器材制造业,C38,7154625534.18,5236294525.57,5169.0,1003037538.45,3900886631.78,96785520.51,115109383.69,C38,2033440392.3000007,21.43299497002232,8.550434525196039,20.726298771397353,22.37887993352095,8.370085169408416
000401,2013,金隅冀东,非金属矿物制品业,C30,15710734473.48,11707624439.56,18064.0,26164158440.42,7191893598.1,1845299611.48,2091569462.02,C30,6094679495.940001,22.530682013745583,9.801676286389442,23.987656312692078,23.18350612801182,7.449893018627092
000403,2013,派林生物,医药制造业,C27,477715809.27,190680351.1,798.0,325049254.76,202505176.25,162989540.76,30222241.4,C27,317257699.56999993,19.57522493398846,6.682108597449809,19.59948728191869,19.066109029604007,7.782941156944018
000404,2013,长虹华意,通用设备制造业,C34,6710000403.89,5659038199.46,6122.0,925930129.32,5411760882.8,304110802.59,85645754.51,C34,1136607958.9400003,20.85131418921348,8.719644119505357,20.646309335465578,22.456519785297836,7.758070957911933
000407,2013,胜利股份,化学原料和化学制品制造业,C26,2232815928.03,2023674509.55,1588.0,803630473.53,2490021095.05,187875337.24,58546964.31,C26,267688382.79000026,19.40533411117239,7.370230641807081,20.50465011145286,21.42818075999972,6.916893786985915
000410,2013,沈阳机床,通用设备制造业,C34,7379062891.25,5523266476.63,14252.0,2086676765.71,3560042697.28,81758502.18,297040894.37,C34,2152837308.99,21.490052487675516,9.564652526725727,21.458838573175722,22.432235275231324,7.681126378366017
000418,2013,小天鹅A,电气机械和器材制造业,C38,8727956044.37,6549621939.9,,1194244286.86,4150047174.8,59527350.44,146502932.96,C38,2324837037.4300013,21.566915782101255,,20.90077942635018,22.602673165828524,
000420,2013,吉林化纤,化学纤维制造业,C28,1394982703.85,1402907020.64,6724.0,1366996157.2,594794454.1,415603136.56,126518031.11,C28,118593714.3199998,18.591214044135207,8.813438494528507,21.035881583565033,21.06181236405313,5.279162847514469
000422,2013,湖北宜化,化学原料和化学制品制造业,C26,19279979584.18,16445613632.83,15572.0,19636332063.89,16163806730.88,3025660629.0,1533452161.02,C26,4367818112.370001,22.197529433581074,9.653229708730347,23.70064736397346,23.52332463014059,7.309627360351431
000423,2013,东阿阿胶,医药制造业,C27,4016304415.3,1466557371.73,5666.0,641302490.86,1763223222.43,481079981.98,61431359.7,C27,2611178403.27,21.683067451893333,8.642238680390461,20.279011808190763,21.10618356715082,8.791718327408542
000425,2013,徐工机械,专用设备制造业,C35,26994743024.79,21108869562.93,8325.0,6128726385.03,23559302922.68,2237037002.89,623170827.19,C35,6509044289.050001,22.596458475792204,9.027018314848645,22.536252797776058,23.77295914753528,8.500667635330993
000509,2013,华塑控股,橡胶和塑料制品业,C29,272046414.42,260954109.48,2094.0,124194888.16,252028317.95,554947.34,20994560.24,C29,32086865.180000026,17.28395731993778,7.646831391430482,18.637362568484587,19.37985512408068,5.554320618059563
000510,2013,新金路,化学原料和化学制品制造业,C26,2005537957.85,2002439482.54,3095.0,1255071015.67,1973200481.53,73047500.44,145555829.4,C26,148654304.70999995,18.817134065684005,8.037543185118697,20.950457994120455,21.41763201549632,5.854685470674406
000513,2013,丽珠集团,医药制造业,C27,4618680040.86,1694615109.0,5058.0,1976910773.96,1283593895.13,920001234.77,179974465.84,C27,3104039397.7,21.855970131744822,8.52872642722991,21.404801248077966,21.25072147765726,8.485873152683146
000519,2013,中兵红箭,非金属矿物制品业,C30,2080289058.73,1309840267.08,4514.0,1490063656.49,737991887.85,55005288.35,274692858.97,C30,1045141650.6200001,20.76741826400954,8.414938957377482,21.12208467846771,20.99317103319826,7.574369689547554
000521,2013,长虹美菱,电气机械和器材制造业,C38,10538933941.29,7994756769.44,13256.0,1138750631.37,5510924303.61,81335768.82,173463692.78,C38,2717640864.6300015,21.72303001172659,9.492205559106399,20.853197560979563,22.802051759935274,8.224971384434319
000523,2013,红棉股份,化学原料和化学制品制造业,C26,4086999427.28,3829758893.17,739.0,493750778.22,3743804515.73,116476582.25,22834178.55,C26,280074712.66000015,19.450566956469054,6.6052979209482015,20.017541450320135,22.06606768598246,7.494343618107649
000525,2013,红太阳,化学原料和化学制品制造业,C26,7241324764.81,6229609953.62,3977.0,2526137927.8,5963749802.45,479667840.6,238751667.74,C26,1250466478.9300005,20.946782501789112,8.28828304520769,21.649957462630248,22.552579560020174,7.5585762808461645
000528,2013,柳工,专用设备制造业,C35,12584687456.76,9984377167.48,12269.0,3078386290.64,13952558059.69,204855256.88,315557170.14,C35,2915867459.4200006,21.793433197186012,9.414831034791183,21.84767136502138,23.024287425051448,7.863325856248716
000529,2013,广弘控股,农副食品加工业,C13,1845764677.75,1606156223.69,1028.0,194784493.04,1765582018.86,43760376.44,25873539.99,C13,265481994.04999995,19.39705757732574,6.93537044601511,19.087404341486646,21.197109722764978,7.742023748323415
000530,2013,冰山冷热,通用设备制造业,C34,1535706911.25,1167001002.75,2126.0,395266143.7,693055366.39,50648044.45,40323790.55,C34,409029699.05,19.829298325185,7.661997558901893,19.795069877495525,20.87770304950496,7.55467056763837
000533,2013,顺钠股份,电气机械和器材制造业,C38,2310851184.54,1668230138.74,3668.0,161713801.49,1896357766.59,82383916.95,20415038.92,C38,663036084.7199999,20.31233997309441,8.207401833376355,18.90133867334782,21.235029104231295,8.235966205091549
000536,2013,华映科技,计算机、通信和其他电子设备制造业,C39,5543853868.98,3990189090.17,7279.0,1776995380.87,3498118848.48,224474609.43,325282395.86,C39,1878947174.6699996,21.353977443448752,8.892748769118258,21.298189786717685,22.107104457745315,7.8881460157157886
000538,2013,云南白药,医药制造业,C27,15814790880.81,11118384924.85,5135.0,1269767136.49,12732537611.98,75136080.86,91892871.73,C27,4788298827.689999,22.28944103449285,8.543835122362658,20.962099363510454,23.13186587464937,9.119396892608739
000541,2013,佛山照明,电气机械和器材制造业,C38,2526679810.53,1890307790.64,8875.0,472740489.84,1884044751.93,68192170.5,87752785.08,C38,724124804.9700001,20.400474318049074,9.090993614343617,19.97405714862149,21.36000550494946,7.471887229167439
000545,2013,金浦钛业,化学原料和化学制品制造业,C26,842142105.99,678701188.99,543.0,570701567.83,377386403.78,43384413.88,51144057.09,C26,214584974.09,19.184216367489537,6.297109319933935,20.16237698270835,20.33569151353631,7.28363749983971
000547,2013,航天发展,计算机、通信和其他电子设备制造业,C39,536150202.18,355019240.32,989.0,153240159.56,370608772.09,41870897.6,12550039.17,C39,193681001.03,19.08172303905449,6.8966943316227125,18.847516919038675,19.687682544055534,7.553805805437655
000550,2013,江铃汽车,汽车制造业,C36,20889705715.0,15523060683.0,13227.0,4288128288.0,15288323668.0,1066353373.0,481933841.0,C36,5848578873.0,22.48946454098616,9.490015474026047,22.17911617817783,23.46559254121454,8.375040120308594
000553,2013,安道麦A,化学原料和化学制品制造业,C26,3078467310.53,2346340331.58,2122.0,1324222385.03,1613232068.36,354430049.71,165545241.18,C26,897672220.1300004,20.615315548642656,7.660114319173928,21.004091244880936,21.576122645530905,7.778617360804825
