code,year,firm_name,industry_name,industry_code,revenue,employees,roa,roe,operating_margin,asset_turnover
000010,2013,美丽生态,专用设备制造业,C35,362384421.77,596.0,0.003708,0.005777,0.032609,0.352586
000012,2013,南玻A,非金属矿物制品业,C30,7733796114.0,9956.0,0.107516,0.192981,0.234879,0.51289
000016,2013,深康佳A,计算机、通信和其他电子设备制造业,C39,20006736878.82,20542.0,0.003801,0.013982,-0.003474,1.270811
000017,2013,深中华A,铁路、船舶、航空航天和其他运输设备制造业,C37,271111736.07,48.0,10.400923,204.689594,0.028764,1.789381
000018,2013,神城A退,纺织业,C17,26998990.0,31.0,0.04604,0.06301,0.312812,0.158349
000019,2013,深粮控股,酒、饮料和精制茶制造业,C15,438318662.25,820.0,0.033827,0.044692,0.09584,0.327926
000020,2013,深华发A,计算机、通信和其他电子设备制造业,C39,626821044.64,1047.0,-0.008911,-0.023815,-0.012149,0.857076
000021,2013,深科技,计算机、通信和其他电子设备制造业,C39,15039531962.51,14881.0,0.011574,0.032024,0.016252,1.095653
000030,2013,富奥股份,其他制造业,C41,5227802390.42,6371.0,0.083031,0.13898,0.117392,0.735239
000032,2013,深桑达A,计算机、通信和其他电子设备制造业,C39,1625440937.16,1221.0,0.009998,0.014789,0.019601,1.08261
000035,2013,中国天楹,计算机、通信和其他电子设备制造业,C39,40922834.9,13.0,108.365662,90.705485,-0.111885,3.919086
000039,2013,中集集团,金属制品业,C33,57874411000.0,57686.0,0.036285,0.107548,0.058244,0.797103
000048,2013,京基智农,农副食品加工业,C13,1565306163.41,1449.0,-0.007469,-0.020546,-0.026716,1.176422
000049,2013,德赛电池,电气机械和器材制造业,C38,4402498844.33,5262.0,0.081587,0.421595,0.076837,1.305956
000050,2013,深天马A,计算机、通信和其他电子设备制造业,C39,4519377681.0,7479.0,0.035796,0.086903,0.027793,0.566568
000055,2013,方大集团,金属制品业,C33,1747620845.74,2081.0,0.031313,0.066937,0.054016,0.672276
000059,2013,华锦股份,石油、煤炭及其他燃料加工业,C25,41557911422.06,10463.0,-0.005695,-0.022401,-0.002944,1.461042
000060,2013,中金岭南,有色金属冶炼和压延加工业,C32,21117720747.04,10521.0,0.02914,0.066443,0.014745,1.461468
000063,2013,中兴通讯,计算机、通信和其他电子设备制造业,C39,75233724000.0,69093.0,0.014325,0.060681,-0.019846,0.75174
000066,2013,中国长城,计算机、通信和其他电子设备制造业,C39,77858636643.28,40558.0,-0.019448,-0.087807,-0.024383,1.984897
000068,2013,华控赛格,计算机、通信和其他电子设备制造业,C39,721757334.54,36.0,-0.062883,-0.189992,-0.04757,1.220012
000070,2013,特发信息,电气机械和器材制造业,C38,1571950276.88,1945.0,0.028579,0.055254,0.042677,0.69757
000100,2013,TCL科技,计算机、通信和其他电子设备制造业,C39,85324086000.0,73809.0,0.036945,0.144537,0.014945,1.092769
000153,2013,丰原药业,医药制造业,C27,1529898115.07,4992.0,0.013724,0.025788,0.018647,0.772277
000155,2013,川能动力,化学原料和化学制品制造业,C26,1810919881.95,3937.0,-0.242736,-0.941385,-0.368094,0.617335
000157,2013,中联重科,专用设备制造业,C35,38541775254.36,27028.0,0.044137,0.093977,0.117645,0.430456
000158,2013,常山北明,纺织业,C17,5857395314.0,8768.0,0.003039,0.007182,-0.041779,1.014577
000333,2013,美的集团,电气机械和器材制造业,C38,120975003140.0,109085.0,0.085589,0.212318,0.077071,1.247859
000338,2013,潍柴动力,汽车制造业,C36,58311713430.31,40984.0,0.048619,0.111213,0.076421,0.742618
000400,2013,许继电气,电气机械和器材制造业,C38,7154625534.18,5169.0,0.092894,0.201776,0.104322,0.862947
000401,2013,金隅冀东,非金属矿物制品业,C30,15710734473.48,18064.0,0.004611,0.014297,-0.001775,0.364567
000403,2013,派林生物,医药制造业,C27,477715809.27,798.0,0.053915,0.181996,0.123223,0.402403
000404,2013,长虹华意,通用设备制造业,C34,6710000403.89,6122.0,0.039853,0.101985,0.03724,1.054134
000407,2013,胜利股份,化学原料和化学制品制造业,C26,2232815928.03,1588.0,0.014571,0.037932,0.01742,0.639581
000410,2013,沈阳机床,通用设备制造业,C34,7379062891.25,14252.0,0.002098,0.012612,-0.005789,0.450695
000418,2013,小天鹅A,电气机械和器材制造业,C38,8727956044.37,,0.051478,0.104703,0.059744,0.946374
000420,2013,吉林化纤,化学纤维制造业,C28,1394982703.85,6724.0,-0.107682,-2.505578,-0.265982,0.348867
000422,2013,湖北宜化,化学原料和化学制品制造业,C26,19279979584.18,15572.0,0.00567,0.026856,0.011174,0.545327
000423,2013,东阿阿胶,医药制造业,C27,4016304415.3,5666.0,0.203975,0.239899,0.353073,0.671654
000425,2013,徐工机械,专用设备制造业,C35,26994743024.79,8325.0,0.03153,0.07853,0.05965,0.549828
000509,2013,华塑控股,橡胶和塑料制品业,C29,272046414.42,2094.0,0.021647,0.212709,0.002771,0.371054
000510,2013,新金路,化学原料和化学制品制造业,C26,2005537957.85,3095.0,-0.103768,-0.202953,-0.10545,1.088696
