model,purpose,formula,y,x,coef,std_err,t_value,p_value,nobs,firms,years,r_squared,adj_r_squared,abs_t,positive_and_significant,mechanical_overlap
screening,候选X/Y筛选,ai_actual_application_index_w ~ ai_invest_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,ai_invest_log_w,0.4556783961174805,0.004668996321646309,97.5966491995021,0.0,24760,3672,12,0.8747856977030415,0.8745526277436817,97.5966491995021,True,True
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ ai_invest_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,ai_invest_log_w,0.43977766625255876,0.004828994394835209,91.0702374645366,0.0,24317,3513,12,0.8245296447071782,0.8241970680139985,91.0702374645366,True,False
screening,候选X/Y筛选,ai_actual_application_index_w ~ ai_invest_level_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,ai_invest_level_w,111.95979653550279,1.5258461651318624,73.37554669269514,0.0,24761,3672,12,0.8327631657382326,0.8324518889568115,73.37554669269514,True,True
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ ai_invest_level_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,ai_invest_level_w,108.552375615719,1.4965281445799339,72.53614040529052,0.0,24318,3513,12,0.7880064032110601,0.787604618964334,72.53614040529052,True,False
screening,候选X/Y筛选,ai_actual_application_index_w ~ L1_ai_invest_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,L1_ai_invest_log_w,0.3753608334802992,0.0052148568445701815,71.97912515491825,0.0,21057,3530,11,0.6630936796099292,0.6623721154569829,71.97912515491825,True,True
screening,候选X/Y筛选,ai_actual_application_index_w ~ L1_ai_invest_level_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,L1_ai_invest_level_w,95.09616489515759,1.3511958199021425,70.37926220201356,0.0,21059,3530,11,0.6567106318901446,0.6559754669177492,70.37926220201356,True,True
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ L1_ai_invest_level_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,L1_ai_invest_level_w,91.99055350838378,1.3396293394212428,68.66866139862707,0.0,20742,3375,11,0.6033386091459294,0.6024761351128587,68.66866139862707,True,False
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ L1_ai_invest_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,L1_ai_invest_log_w,0.3600734163526857,0.005383296638149755,66.88715866054213,0.0,20740,3375,11,0.6014105220013468,0.6005437719042201,66.88715866054213,True,False
screening,候选X/Y筛选,ai_actual_application_index_w ~ ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,ai_application_index_w,0.8455766053992256,0.026047178004929745,32.463271270276955,3.519497983530345e-231,24761,3672,12,0.506175625571031,0.5052564736238054,32.463271270276955,True,True
screening,候选X/Y筛选,ai_actual_application_index_w ~ L1_ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,L1_ai_application_index_w,0.682551036368421,0.025848573605204962,26.40575247181067,1.1768426355852056e-153,21938,3586,11,0.4067302255403341,0.4055107325816878,26.40575247181067,True,True
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,ai_application_index_w,0.5996437990958919,0.027906599438519506,21.48752664820218,2.036760495406738e-102,24318,3513,12,0.3134590745350013,0.3121578968920782,21.48752664820218,True,False
screening,候选X/Y筛选,ai_conversion_efficiency_w ~ L1_ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_conversion_efficiency_w,L1_ai_application_index_w,0.47217486797430275,0.028089815711652186,16.809468343305497,2.08028703182222e-63,21591,3431,11,0.2552014261404357,0.2536458013632865,16.809468343305497,True,False
screening,候选X/Y筛选,tfp_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,annual_ai_log_w,0.08719769074197992,0.0074474292948000015,11.708428142159567,1.1539913438894315e-31,26782,3598,12,0.3105384320519984,0.30935215069326993,11.708428142159567,True,False
screening,候选X/Y筛选,tfp_w ~ mda_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,mda_ai_log_w,0.08525595668703904,0.007706268735328078,11.063195382247393,1.892335081638376e-28,26782,3598,12,0.3077946548266606,0.30660365254957167,11.063195382247393,True,False
screening,候选X/Y筛选,tfp_w ~ ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,ai_application_index_w,0.1513958438599639,0.013900733960196079,10.891212240553402,1.2693921847932504e-27,27225,3757,12,0.3067022630005046,0.3055288250763757,10.891212240553402,True,False
screening,候选X/Y筛选,tfp_w ~ L1_ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,L1_ai_application_index_w,0.15693300711565447,0.014516629132131089,10.810568051800617,3.067645397560733e-27,24147,3690,11,0.3080403130673558,0.30674832576757705,10.810568051800617,True,False
screening,候选X/Y筛选,tfp_w ~ L1_annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,L1_annual_ai_log_w,0.08317527553430587,0.007858582459520733,10.584004935080674,3.535168704345945e-26,23819,3558,11,0.30859147166236833,0.30728270189098095,10.584004935080674,True,False
