variable,missing,missing_rate
debt_asset_ratio,29621,1.0
ai_hard_invest_add,17009,0.5742209918638803
ai_hard_invest,17004,0.5740521927011242
ai_invest_add_log,14518,0.4901252489787651
ai_invest_add_log_actual,14518,0.4901252489787651
ai_soft_invest_add,5864,0.19796765808041591
ai_soft_invest,5757,0.19435535599743425
ai_conversion_efficiency,4003,0.13514060970257588
property_rights,3806,0.12848992268998347
largest_holder_rate,3786,0.12781472603895885
ai_invest_total_add,3677,0.12413490429087472
ai_invest_log_actual,3519,0.1188008507477803
ai_invest_log,3519,0.1188008507477803
ai_actual_application_index,3518,0.11876709091522906
ai_invest_total,3516,0.1186995712501266
ai_invest_level_actual,3516,0.1186995712501266
ai_invest_level,3516,0.1186995712501266
report_category,3408,0.1150535093345937
firm_age,1521,0.05134870531042166
mda_word_count,1444,0.048749198203976905
mda_text_chars,1444,0.048749198203976905
mda_ai_word_share,1444,0.048749198203976905
mda_sentence_count,1444,0.048749198203976905
equity_nature,1385,0.046757368083454307
province,1302,0.04395530198170217
annual_word_count,1165,0.03933020492218359
annual_ai_word_freq,1165,0.03933020492218359
annual_sentence_count,1165,0.03933020492218359
mda_ai_sentence_freq,1165,0.03933020492218359
mda_ai_log,1165,0.03933020492218359
annual_ai_word_share,1165,0.03933020492218359
annual_ai_log,1165,0.03933020492218359
annual_ai_sentence_freq,1165,0.03933020492218359
mda_ai_word_freq,1165,0.03933020492218359
annual_text_chars,1165,0.03933020492218359
rd_investment_intensity_pct,1074,0.03625806016002161
rd_intensity,870,0.029371054319570575
rd_investment_amount,865,0.029202255156814422
rd_expenses,865,0.029202255156814422
revenue_growth,865,0.029202255156814422
tfp,789,0.0266365078829209
tfp_qe,789,0.0266365078829209
labor_productivity_log_qe,706,0.023834441781168766
labor_productivity_log,706,0.023834441781168766
employees,700,0.023631882785861383
ai_application_index_pos,680,0.02295668613483677
ai_application_index,680,0.02295668613483677
roe,125,0.004219979068903818
sales_expense_ratio,25,0.0008439958137807636
selling_expense,21,0.0007089564835758414
operating_margin,7,0.0002363188278586138
operating_margin_qe,7,0.0002363188278586138
quality_efficiency_index,7,0.0002363188278586138
quality_subindex,7,0.0002363188278586138
admin_expense_ratio,7,0.0002363188278586138
efficiency_subindex,6,0.00020255899530738329
ln_assets,6,0.00020255899530738329
leverage,6,0.00020255899530738329
asset_turnover_qe,6,0.00020255899530738329
total_assets,6,0.00020255899530738329
total_liability,6,0.00020255899530738329
asset_turnover,6,0.00020255899530738329
revenue,6,0.00020255899530738329
admin_expense,2,6.751966510246109e-05
finance_expense,1,3.3759832551230545e-05
roa_qe,1,3.3759832551230545e-05
roa,1,3.3759832551230545e-05
year,0,0.0
industry_name,0,0.0
industry_code,0,0.0
firm_name,0,0.0
listing_date,0,0.0
code,0,0.0
industry_2digit,0,0.0
ai_index_component_count,0,0.0
quality_efficiency_pca,0,0.0
quality_efficiency_entropy,0,0.0
