year,rows,rd_expenses_missing_rate,rd_intensity_missing_rate,rd_direct_ratio_missing_rate
2013,1487,0.0773369199731002,0.0773369199731002,0.09818426361802286
2014,1568,0.06760204081632654,0.06760204081632654,0.08673469387755102
2015,1672,0.050239234449760764,0.05083732057416268,0.05741626794258373
2016,1956,0.10122699386503067,0.10122699386503067,0.10378323108384459
2017,2206,0.05349048050770626,0.05349048050770626,0.0757026291931097
2018,2256,0.02171985815602837,0.02171985815602837,0.028368794326241134
2019,2397,0.017521902377972465,0.017939090529828953,0.025031289111389236
2020,2732,0.016471449487554905,0.016471449487554905,0.02013177159590044
2021,3034,0.012524719841793012,0.012524719841793012,0.016809492419248517
2022,3275,0.009770992366412214,0.010381679389312977,0.011603053435114504
2023,3479,0.006611095142282265,0.006898534061511929,0.009772923253808566
2024,3559,0.004214667041303737,0.004214667041303737,0.006743467266085979
