model,purpose,formula,y,x,coef,std_err,t_value,p_value,nobs,firms,years,r_squared,adj_r_squared
M0_fe_no_controls,固定效应基线：AI词频对自构造提质增效指数的总相关关系,quality_efficiency_index_w ~ annual_ai_log_w + C(year) + C(industry_2digit),quality_efficiency_index_w,annual_ai_log_w,0.044979588317423456,0.009085506868961802,4.95069663874056,7.394829669326838e-07,28450,3707,12,0.08098947120800593,0.07966310428036327
M1_main_fe,主模型：AI词频、控制变量、年度和制造业细分行业固定效应,quality_efficiency_index_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_index_w,annual_ai_log_w,0.04901232701359387,0.007918786718015687,6.189373291502858,6.040388458154336e-10,26869,3615,12,0.27130880468342633,0.270059091948188
M2_mda_frequency,稳健性：MD&A AI词频对自构造提质增效指数,quality_efficiency_index_w ~ mda_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_index_w,mda_ai_log_w,0.04961747431289431,0.008042564074578045,6.169360150916485,6.856688997161925e-10,26869,3615,12,0.27084284702686257,0.2695923351695527
M3_ai_composite,稳健性：综合AI应用指数对自构造提质增效指数,quality_efficiency_index_w ~ ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_index_w,ai_application_index_w,0.0894235257594619,0.015069919965084668,5.933908472416992,2.958067763039778e-09,27312,3760,12,0.26782931735554694,0.2665940394754206
M4_efficiency_subindex,分维度：综合AI应用指数对效率子指数,efficiency_subindex_w ~ ai_application_index_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),efficiency_subindex_w,ai_application_index_w,0.07250411410488708,0.01652757191108776,4.3868581843075605,1.1499971593978524e-05,27313,3760,12,0.3461316919398605,0.3450285619548694
M5_quality_subindex,分维度：年报AI词频对质量子指数,quality_subindex_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_subindex_w,annual_ai_log_w,0.048625041324544205,0.007854098551775568,6.191040385347799,5.976839192292032e-10,26869,3615,12,0.32144268349588845,0.3202789508674794
M6_tfp_y,替代Y：年报AI词频对TFP,tfp_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),tfp_w,annual_ai_log_w,0.08719769074197992,0.0074474292948000015,11.708428142159567,1.1539913438894315e-31,26782,3598,12,0.3105384320519984,0.30935215069326993
M7_entropy_index_y,稳健性：熵权法提质增效指数,quality_efficiency_entropy_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_entropy_w,annual_ai_log_w,0.009599587787610636,0.0013450858211968078,7.136784609824581,9.553937277298709e-13,26870,3615,12,0.2714782497928856,0.27022887423796893
M8_pca_index_y,稳健性：PCA提质增效指数,quality_efficiency_pca_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_pca_w,annual_ai_log_w,0.09262508386823023,0.015045111658347505,6.156490292103542,7.437473159881084e-10,26870,3615,12,0.2836786596459888,0.28245020713671376
M9_rd_missing_robust,稳健性：研发强度缺失填0并加入缺失虚拟变量,quality_efficiency_index_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_imputed_w + rd_missing + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_index_w,annual_ai_log_w,0.05011719806116405,0.00794240069153371,6.310081801159571,2.7888802270190226e-10,27512,3645,12,0.26622386528571007,0.26496813129460994
M11_mechanism_word_to_actual_ai,机制/测度：AI文本关注度是否转化为实际AI应用投入,ai_actual_application_index_w ~ annual_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,annual_ai_log_w,0.10886492288612865,0.010970355965768579,9.923554278988394,3.2883336455907564e-23,24318,3513,12,0.257878768096358,0.256472250990859
M12_mechanism_mda_to_actual_ai,机制/测度：MD&A中的AI关注度是否转化为实际AI应用投入,ai_actual_application_index_w ~ mda_ai_log_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),ai_actual_application_index_w,mda_ai_log_w,0.10227716905760859,0.011400740252778974,8.971098962865867,2.935705450308567e-19,24318,3513,12,0.25441039094878326,0.25299730034615653
M13_conversion_efficiency,创新机制：AI关注度向实际应用落地的转化效率,quality_efficiency_index_w ~ ai_conversion_efficiency_w + ln_assets_w + leverage_w + rd_intensity_w + firm_age_w + revenue_growth_w + C(year) + C(industry_2digit),quality_efficiency_index_w,ai_conversion_efficiency_w,0.00859711358497902,0.010986356932579381,0.7825263313159612,0.4339053168816238,24317,3513,12,0.2614986650687392,0.26009895096050517
